"name";"onsCode";"nomiscode";"nomisoacodes"
"Darlington";"E06000005";1946157057;"1254157025...1254157361;1254265825...1254265847"
"County Durham";"E06000047";1946157058;"1254198405...1254200050;1254263696...1254263765;1254263825...1254263834"
"Hartlepool";"E06000001";1946157059;"1254155320...1254155606;1254258272...1254258275;1254265717...1254265738"
"Middlesbrough";"E06000002";1946157060;"1254155607...1254156032;1254258333...1254258333;1254265739...1254265753"
"Northumberland";"E06000057";1946157061;"1254232319...1254233374;1254267831...1254267858"
"Redcar and Cleveland";"E06000003";1946157062;"1254156033...1254156469;1254258283...1254258286;1254258289...1254258293;1254258334...1254258335;1254265754...1254265769"
"Stockton-on-Tees";"E06000004";1946157063;"1254156470...1254157024;1254258266...1254258271;1254258281...1254258282;1254265770...1254265824"
"Gateshead";"E08000037";1946157064;"1254136984...1254137639;1254258197...1254258197;1254258612...1254258646;1254262111...1254262124"
"Newcastle upon Tyne";"E08000021";1946157065;"1254137640...1254138493;1254267044...1254267099"
"North Tyneside";"E08000022";1946157066;"1254138494...1254139160;1254258582...1254258611"
"South Tyneside";"E08000023";1946157067;"1254139161...1254139682;1254262269...1254262280"
"Sunderland";"E08000024";1946157068;"1254139683...1254140576;1254258193...1254258194;1254262281...1254262332"
"Blackburn with Darwen";"E06000008";1946157069;"1254158319...1254158733;1254263766...1254263788"
"Blackpool";"E06000009";1946157070;"1254158734...1254159241;1254265694...1254265697"
"Cheshire East";"E06000049";1946157071;"1254186910...1254187575;1254187843...1254188362;1254265956...1254266014"
"Cheshire West and Chester";"E06000050";1946157072;"1254186492...1254186909;1254187576...1254187842;1254188363...1254188760;1254261043...1254261068"
"Halton";"E06000006";1946157073;"1254157362...1254157729;1254262580...1254262619"
"Warrington";"E06000007";1946157074;"1254157730...1254158318;1254258223...1254258235;1254264671...1254264685;1254264849...1254264891"
"Allerdale";"E07000026";1946157075;"1254190494...1254190813"
"Barrow-in-Furness";"E07000027";1946157076;"1254190814...1254191051;1254263107...1254263111"
"Carlisle";"E07000028";1946157077;"1254191052...1254191399;1254263848...1254263861"
"Copeland";"E07000029";1946157078;"1254191400...1254191640;1254263112...1254263113"
"Eden";"E07000030";1946157079;"1254191641...1254191817"
"South Lakeland";"E07000031";1946157080;"1254191818...1254192174;1254260763...1254260774"
"Bolton";"E08000001";1946157081;"1254120303...1254121154;1254263615...1254263649"
"Bury";"E08000002";1946157082;"1254121155...1254121746;1254263650...1254263660"
"Manchester";"E08000003";1946157083;"1254121747...1254122986;1254267298...1254267587"
"Oldham";"E08000004";1946157084;"1254122987...1254123666;1254258294...1254258302;1254260824...1254260846"
"Rochdale";"E08000005";1946157085;"1254123667...1254124332;1254264230...1254264240"
"Salford";"E08000006";1946157086;"1254124333...1254125049;1254260794...1254260802;1254263841...1254263847;1254264706...1254264776"
"Stockport";"E08000007";1946157087;"1254125050...1254126009;1254260847...1254260850"
"Tameside";"E08000008";1946157088;"1254126010...1254126721;1254260851...1254260874"
"Trafford";"E08000009";1946157089;"1254126722...1254127431;1254260803...1254260823"
"Wigan";"E08000010";1946157090;"1254127432...1254128426;1254260690...1254260734"
"Burnley";"E07000117";1946157091;"1254219633...1254219925;1254263789...1254263790"
"Chorley";"E07000118";1946157092;"1254219926...1254220249;1254262551...1254262579"
"Fylde";"E07000119";1946157093;"1254220250...1254220503;1254265698...1254265707"
"Hyndburn";"E07000120";1946157094;"1254220504...1254220760;1254263791...1254263802"
"Lancaster";"E07000121";1946157095;"1254220761...1254221207;1254262241...1254262255"
"Pendle";"E07000122";1946157096;"1254221208...1254221498;1254264420...1254264422"
"Preston";"E07000123";1946157097;"1254221499...1254221910;1254263835...1254263840;1254263862...1254263886"
"Ribble Valley";"E07000124";1946157098;"1254221911...1254222098;1254265708...1254265716"
"Rossendale";"E07000125";1946157099;"1254222099...1254222315;1254264423...1254264426"
"South Ribble";"E07000126";1946157100;"1254222316...1254222654;1254261011...1254261035"
"West Lancashire";"E07000127";1946157101;"1254222655...1254223002;1254261036...1254261042"
"Wyre";"E07000128";1946157102;"1254223003...1254223362;1254262256...1254262268"
"Knowsley";"E08000011";1946157103;"1254128427...1254128893;1254263887...1254263909;1254263998...1254264001"
"Liverpool";"E08000012";1946157104;"1254128894...1254130274;1254258196...1254258196;1254258236...1254258253;1254258276...1254258280;1254268090...1254268268"
"Sefton";"E08000014";1946157105;"1254130853...1254131767;1254262533...1254262550"
"St. Helens";"E08000013";1946157106;"1254130275...1254130852;1254260667...1254260689"
"Wirral";"E08000015";1946157107;"1254131768...1254132823;1254260652...1254260666"
"East Riding of Yorkshire";"E06000011";1946157108;"1254160053...1254161113;1254258337...1254258337;1254266348...1254266359;1254266824...1254266863"
"Kingston upon Hull; City of";"E06000010";1946157109;"1254159242...1254160052;1254258336...1254258336;1254262776...1254262816"
"North East Lincolnshire";"E06000012";1946157110;"1254161114...1254161637;1254265272...1254265286"
"North Lincolnshire";"E06000013";1946157111;"1254161638...1254162147;1254264646...1254264670"
"York";"E06000014";1946157112;"1254162148...1254162748;1254262205...1254262240"
"Craven";"E07000163";1946157113;"1254233375...1254233568"
"Hambleton";"E07000164";1946157114;"1254233569...1254233866;1254262174...1254262186"
"Harrogate";"E07000165";1946157115;"1254233867...1254234384;1254263031...1254263044"
"Richmondshire";"E07000166";1946157116;"1254234385...1254234532;1254263300...1254263321"
"Ryedale";"E07000167";1946157117;"1254234533...1254234720;1254262187...1254262192"
"Scarborough";"E07000168";1946157118;"1254234721...1254235095;1254263045...1254263052"
"Selby";"E07000169";1946157119;"1254235096...1254235353;1254262193...1254262204"
"Barnsley";"E08000016";1946157120;"1254132824...1254133553;1254260908...1254260940"
"Doncaster";"E08000017";1946157121;"1254133554...1254134501;1254264241...1254264270"
"Rotherham";"E08000018";1946157122;"1254134502...1254135316;1254260972...1254261010"
"Sheffield";"E08000019";1946157123;"1254135317...1254136983;1254258325...1254258325;1254264271...1254264419"
"Bradford";"E08000032";1946157124;"1254148629...1254150034;1254267588...1254267709"
"Calderdale";"E08000033";1946157125;"1254150035...1254150669;1254260875...1254260907"
"Kirklees";"E08000034";1946157126;"1254150670...1254151942;1254267006...1254267043"
